,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,r,,r,,,,,,,,,,,,,,,,,,,,,,,,q,q,q,q,q,q,q,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岩,,岩,,岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岩,,岩,,岩,,岩,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岩,,岩,,岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岩,,岩,,岩,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茸2,茸1,,茸2,,茂1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
茂1,,,始,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,b,b,b,b,b,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,茂2,,,,,,s,,,,,,,,,,,,,,,,,,
b,b,b,b,b,b,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茸1,,S,,B,B茸2,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,
b,b,b,b,b,b,b,,,,,,,,,,,,,,,,,,,,,,茂1,,,,S,,,,b,b,b,b,bB,bB,bB,B,B,B,B,B,B,B,B,B,B,,,,,,茂1,,S,,,茸2,,,B,B,B,B,B,B,B,B茸1,B,茸2,,,,,,,,,,,,,,,
b,b,b,b,b,b,b,,,,,,,,,,,,,,,,,,,,,,g,g,g,g,g,g,,,b,b,b,b,bB,bB,bB,B,B,B,B,B,B,B,B,B,B,L3,,,,b,b,b,b,b,,b,b,b,bB,bB,B,B,B,B,B,Bb,Bb,b,b,b,b,b,b,b,b,,,完,,,,,
b,b茸1,b,b,b,b,b,茂2,,,,,,,,,,s,,s,,,,,茸1,,,,g,g,g,g,g,g,,,b,b,b,b,bB,bB,bB,B,B,B,B,B,B,B,B,B,B,,,,,b,b,b,b,b,,b,b,b,bB,bB,B,B,B,B,B,Bb,Bb,b,b,b,b,b,b,b,b,,,,,,,,
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,g,g,g,g,g,g,g,g,g,g,,,b,b,b,b,bB,bB,bB,B,B,B,B,B,B,B,B,B,B,,,,,b,b,b,b,b,,b,b,b,bB,bB,B,B,B,B,B,Bb,Bb,b,b,b,b,b,b,b,b,S,,,,,,,茸1
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,g,g,g,g,g,g,g,g,g,g,,,b,b,b,b,bB,bB,bB,B,B,B,B,B,B,B,B,B,B,,,,,b,b,b,b,b,,b,b,b,bB,bB,B,B,B,B,B,Bb,Bb,b,b,b,b,b,b,b,b,R2,,,,,,b,b
