,,,,,,,,r,r,r,r,r,r,r,r,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,q,q,q,,,,q,q,q,q,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,岩,,岩,,岩,,岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茂1,,,,,,,,,,,茸1,,,,,,,,,,,,,,,,,岩,岩,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,b,,,,角,,,,角,,,,,,,,,,,岩,岩,,,,,岩,岩,岩,岩,,,,,,,,,,,,,,,,,,,,
茂1,,,始,,茸2,,,,岩,,岩,,岩,,岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,b,,,,,,,,,,,,,,,,,,,,,,,,,g,g,g,g,,,,,,,,,,,,,,,,,,,,
g,g,g,g,g,g,,,,,,,,,,,,茂2,,,,,,,,,,,茸1,,茸2,,,,,,,,,,,,,,,,,,茸2,S,,S,茸1,b,b,b,b,b,,,,,,,,,,,,,,,,,,,,,,,,,g,g,g,g,茂1,,,,,,,,,,,,,,,,,,s,茸2
g,g,g,g,g,g,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,g,g,g,g,g,b,b,b,b,b,,,,,,,,,,,,,,,,,,,,,,,,,g,g,g,g,B,B,B,B,B,g,g,,,,,,,,,,,,b,b
g,g,g,g,g,g,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,S,,,,,,,,,,,,,,,,g,g,g,g,g,b,b,b,b,b,,,,,,,,,,,R1,,,,,,,茸1,茸2,,茸1,S,,S,g,g,g,g,B,B,B,B,B,g,g,,,,,,,,,,,,b,b
g,g,g,g,g,g,,,茂2,,,,,,,,,B,B,B,B茸1,B,B,B,B,B,B,B,B,B,B,,R5,,,,,,,,,,,茂1,,,S,,g,g,g,g,g,b,b,b,b,b,,,,,,,,,,,,,,,,,,g,g,g,g,g,g,g,g,g,g,g,B,B茸2,B,B,B,g,g,,,,,,,,,,茸1,,b,b
g,g,g,g,g,g,,,b,b,b,b,b,b,b,b,b,bB,bB,bB,bB,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,g,g,g,g,g,g,g,g,g,g,b,b,b,b,b,,,,,,,,,,,,,,,,,,g,g,g,g,g,g,g,g,g,g,g,bB,bB,bB,bB,bB,g,g,,,,,,,,,,B,B,Bb,Bb
g,g,g,g,g,g,,,b,b,b,b,b,b,b,b,b,bB,bB,bB,bB,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,g,g,g,g,g,g,g,g,g,g,b,b,b,b,b,,,,,,,,,,,,b,b,,,,,g,g,g,g,g,g,g,g,g,g,g,bB,bB,bB,bB,bB,g,g,,,,,,,,,,B,B,Bb,Bb
g,g,g,g,g,g,,,b,b,b,b,b,b,b,b,b,bB,bB,bB,bB,B,B,B,B,B,B,B,B,B,B,,茸1,,茂1,,,,,,,s,,g,g,g,g,g,g,g,g,g,g,b,b,b,b,b,,,,,,,,,,,,b,茸1b,,,,,茂1,,,,,,,,茂1,,,bB,bB,bB,bB茸1,bB,g,g,,,,,,,,,,B,B,Bb,Bb
g,g,g,g,g,g,,,b,b,b,b,b,b,b,b,b,bB,bB,bB,bB,B,B,B,B,B,B,B,B,B,B,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,b,b,b,b,b,,,,,,,,,,,,b,gb,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,完,,,,,,,B,B,Bb,Bb
g,g,g,g,g,g,,,b,b,b,b,b,b,b,b,b,bB,bB,bB,bB,B,B,B,B,B,B,B,B,B,B,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,b,b,b,b,b,,,,,,,,,,,,b,gb,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,,,,,,B,B,Bb,Bb
