 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,茂1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,,,
,,,,,,,,,,,,,,完,,,,,,,,B,B,B,B,B,B,B,,,
,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,,,茸2
,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,bB,bB,b,b,b
,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,bB,bB,b,b,b
,,,,,,,,,,,,,,,茸1,,,,,,,B,B,B,B,B,bB,bB,b,b,b
,,,,,,,,,,,,,,,g,g,g,g,,,,B,B,B,B,B,bB,b角B,b角,b角,b
,,,始,,,,茂2,,,,,,,,g,g,g,g,茂1,,,B,B,B,B,B,bB,bB,b,b,b
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
