,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,r,r,r,r,r,r
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茸2,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,角,角,角,角,角,角,角,角,角,角,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,茸1,,,,,,,,茂1,,,,,,,,,,,,,,,,,,,,,,,,,,,茂1,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,B,B,B,B,B,B,B,gB,gB,B,B,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,
B,B,B,B,B,B,B,B,gB,gB,B,B,,茸2,,,,,,,,茂2,,,,,,s,,,,,s,,,茸1,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,茂1,,,,,,,,,,,,,岩,岩,岩,,
B,B,B茂1,B,B,B,B,B茸2,gB,gB,bB,bB,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,b,b,b,b,b,b,b,b,b,b,b,岩,岩,岩,岩,岩,岩,岩,岩
bB,bB,bB,bB,bB,bB,bB,bB,gbB,gB,bB,bB,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,b,b,b,b,b,b,b,b,b,b,b,,岩,岩,岩,岩,岩,,
bB,bB,bB,bB,bB,bB,bB,bB,gbB,gB,bB,bB,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,b,b,b,b,b,b,b,b,b,b,b,岩,岩,岩,岩,岩,岩,,
茂1bB,bB,b始B,bB,bB,bB茸1,bB,bB,gbB,gB,bB,bB,b茸,b,b,b,b,b,b,b,b,b,茂1b,b,b,b,b,b,b,b,b,b,b,b,b,b,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,b,b,b,b,b,b,b,b,b,b,b,,,,,岩,岩,岩,
g,g,g,g,g,g,g,g,g,g,gb,gb,gb,b,b,b,b,b,b,gb,gb,gb,gb,gb,gb,gb,gb,gb,gb,b,b,茸1b,b,茂2b,b,b,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,b,b,b,茂1b,b,b,b,b,b,b,b,,,,茸1,岩,岩,岩,
g,g,g,g,g,g,g,g,g,g,gb,gb,gb,b完,b,b,b,b,b,gb,gb,gb,gb,gb,gb,gb,gb,gb,gb,b,gb,gb,gb,gb,gb,gb,gbB,gbB,gbB,gbB,gbB,gbB,gbB,gbB,gbB,gbB,gbB,bB,bB,gbB,gb,gb,gb,gb,gb,gb,gb,gb,gb,gb,gb,g,g,g,g,g,g,g,g
