,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,r,r,r,r,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,茸1,,,,,,,,,茂1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,g,g,g,,,g,g,g,g,g,g,g,g,B,B,B,B,B,,,,,,,,
,,,,,,,,,,,,,,,,,,g,g,g,,,g,g,g,g,g,g,g,g,B,B,B,B,B,,,,,,,,
,,,,,,,,,,,,,,L3,,,,g,g,g,,,g,g,g,g,g,g,g,g,B,B,B角,B,B,,,,,,,,
茂2,,,,始,,,,,,,茸2,,,,,,,g,g,g,,,g,g,,,,,,,B,B,B,B,B,,,,,,,,
g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,,g,g,g,b,,g,g,,茸2,,,,,B,B,B,B,B,,,,,,,,
g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,,g,g,g,b,,,,b,b,gb,gb,b,b,bB,bB,bB,bB,bB,b,b,完,,,,,
g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,,g,g,g,b,,,,b,b,gb,gb,b,b,bB,bB,bB,bB,bB,b,b,,,,,,
g,g,g,g,g,g,g,g,g,g,g,g,g,茂1,,,,茸1,g,g,g,b,茂1,,,b,b,gb,gb,b,b,bB,bB,bB,bB,bB,b,b,s,,茸2,,茸1,
g,g,g,g,g,g,g,g,g,g,g,g,g,B,B,B,B,B,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
