 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,S,,茸2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,b,b,b,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,b,b,b,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,b,b,b,,,,,,,,,,茂1,,,,,,茸1,,,,,,
,,,,,,,,,,,,,,,,b,b,b,,,,,,,,,,g,g,g,g,,g,g,,,,,,
,,,,,,,,,,,B,B,B,,,b,b,b,,,,,,,,,,g,g,g,g,,g,g,,,,,,
茂1,,,始,,,,,,,,B,B,B,,,b,b,b,,,,,,,,,,g,g,g,g,,g,g,,,,,,
B,B,B,B,B,B,B,B,,,,B,B,B,,,b,b,b,,,,,,L5,,,,g,g,g,g,,g,g,,,,,,
B,B,B,B,B,B,B,B,,,,B,B,B,,S,b,b,b,,,,,,,,,,g,g,g,g,,g,g,,,,,,
B,B,B,B,B,B,B,B,,,,B,BR5,B,,R5,b,b,b,,,,, ,,,,,g,g,g,g,,g,g,,,,,,
B,B,B,B,B,B,B,B,,,,B,B,B,,,b,b,b,,,,,,,,,,g,g,g,g,,g,g,完,,,,,
B,B,B,B,B,B,B,B,,,,B,B,B,,,b,b,b,,,,,,,,,,g,g,g,g,,g,g,b,b,b,b,b,b
B,B,B,B,B,B,B,B,,,,B,B,B,,,b,b,b,,,,,,,,,,g,g,g,g,,g,g,b,b,b,b,b,b
