,,,,,,,,,,,,,,,,r,,r,,r,,r,,r,,r,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,s,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,,,,,,,,,,,,,,,,,,,,,,,,,茂1,,,,,,,,,,茂2,,,,,,,,s,,,,茸2,,茸1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,角,角,角,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茂2,,,,,,s,,,,,,B,B,B,B,B,B,B,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,S,,茸2
,,,,,,,,,,,,,,,,,,,,,角,角,角,,,,,,,,,,,,,,,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,bB,bB,B,B,B,B,B,,,Bb,Bb,Bb,B,B,B,B,B,B,B,B,B,B,B,B,B,,,B,B,B,B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,bB,bB,B,B,B,B,B,,,Bb,Bb,Bb,B,B,B,B,B,B,B,B,B,B,B,B,B,,,B,B,B,B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茂2,,,,,,,,,,b,b茸1,b,b,b,b,b,b,b,b,bs,b,b,b,bB,bB,B,B,B,B,B,,,Bb,Bb,Bb,B,B,B完,B,B,B,B,B,Bb,Bb,Bb,Bb,Bb,b,b,B,B,B,B
茂2,,,,,,始,,,,,,,茸1,,茂1,,,,,,,,,,,,,茸1,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,gB,gB,B,B,B,B,B,,,Bb,Bb,Bb,B,B,B,B,B,B,B,B,Bb,Bb,Bb,Bb,Bb,b,b,B,B,B,B
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,gB,gB,B,B,B,B,B,,,Bb,Bb,Bb,B,B,B,B,B,B,B,B,Bb,Bb,Bb,Bb,Bb,b,b,B,B,B,B
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,gB,gB,B,B,B,B,B,,,Bb,Bb,Bb,B,B,B,B,B,B,B,B,Bb,Bb,Bb,Bb,Bb,b,b,B,B,B,B
