,,,,,,,,,,,,,,,,,,,,,,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,始,,茸2,,,,,,,,,,,,,,,,,,,,,,,角,,角,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茂2,,,,,,,,,,
B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,,,,,,,,,,,,茸2,茸1,,茸2,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,,L2,,,L2,,,,,B,B,B,B,B,B,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩B,岩B,完B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,,,,,,,,,,B,B,B,B,B,B,,,,,,,茂1,,,,,茸2,,,茸1,,,茂1,,,,茸2,,,,茸1,茂1,,S,,,,,茂1,,,,,茸2,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,,,,,,,,,,B,B,B,B,Bb,Bb,b,b,,,,,b,b,b,b,b,b,b,b,b,,,b,b,b,b,b,b,,,b,b,b,b,,,,,b,b,b,b,b,b,bB,bB,bB,bB,bB,B,B,B,B,B,B,B,B
B,B,B,B,B,B,,,,,,,,,,B,B,B,B,Bb,Bb,b,b,,,,,b,b,b,b,b,b,b,b,b,,,b,b,b,b,b,b,,,b,b,b,b,,,,,b,b,b,b,b,b,bB,bB,bB,bB,bB,B,B,B,B,B,B,B,B
