 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
茂1,,,始,,,,,茂2,,,,,,s,,,,,,,,,,,,,,,,S,,,,,茸1,,茸2,,,S,,,,,茂2,,,,,,,,s,,,,,,,,,,,,,,,,
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,,,,,,,角,角,角,,,,,B,B,B,B,B,B,B,B,,,B,B,B,B,B,B,B,B,B,B,B,,,完,,,,,,,,,,,
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,,,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,茸2,,茂1,,,,,,,s,,,s,,,B,B,B,B,B茸2,B,B,B,,,B,B,B,B,B,B,B,B,B,B茸1,B,,,茸2,,,,,,S,,,,,
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,bB,bB,bB,bB,bB,bB,B,B,,,B,B,B,B,B,B,B,B,B,bB,bB,b,b,b,b,b,b,b,b,b,b,b,b,b,b
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,bB,bB,bB,bB,bB,bB,B,B,,,B,B,B,B,B,B,B,B,B,bB,bB,b,b,b,b,b,b,b,b,b,b,b,b,b,b
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,bB,bB,bB,bB,bB,bB,B,B,,,B,B,B,B,B,B,B,B,B,bB,bB,b,b,b,b,b,b,b,b,b,b,b,b,b,b
