,,,,,,,,,,,,,,,,,,,,,,,,,,茸2,,茂1,,,,,,,,,,,,,,,,,,,,,,,,,,,茂1,,,,茸1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,Bs,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B岩,B岩,B岩,B,B,B,B,B,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B茂2,B,B,B,B,B,B,B,B,B,B,BS,B,BS,B,B,B,B茂1,B,B,BS,Bs,Bs,B,Bs,Bs,B,B,B,B,BS,B茸1,B,B茸2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,L4,,,,,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,,,,,,,,,,,,,,,,,
茂2,,,,始,,,,,,,,,,,,,茸2,,茸1,,,,,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,,,,,,,,,,,,,
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,,,,,,,,,,,,,
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,,茂1,,,,,,,,,,,
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,b,b,b,b,b,,完,,,,,,,
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,b,b,b,b,b,,,,,,,,,
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,茸2,,茸1,茸2,,,,,,,茸1,,茂1,,,,茸2,,茸1,,,,,,,,,,,,,,,,,茸2,,茂1,,,,,,b,b,b,b,b,,,,茸1,,茸1,茸2,,
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
